IMG_Index;Label;Repetition;Seed;#Iterations_Att;#Iterations_att_adaptive;#Iterations_Normal;#Iterations_Normal_adaptive;Winner Method;;;;;
77;2;4;99982;NA;419;NA;435;Heatmaps adaptive;;0;0;0;1
77;2;5;1123;NA;NA;NA;NA;;;0;0;1;0
78;1;1;4398;NA;304;NA;NA;Heatmaps adaptive;;1;0;0;0
78;1;2;980;NA;NA;NA;NA;;;0;0;1;0
78;1;3;987423;NA;NA;NA;NA;;;0;0;1;0
78;1;4;99982;NA;457;NA;NA;Heatmaps adaptive;;1;0;0;0
78;1;5;1123;NA;NA;NA;NA;;;0;0;1;0
79;0;1;4398;NA;354;NA;NA;Heatmaps adaptive;;1;0;0;0
79;0;2;980;NA;332;NA;NA;Heatmaps adaptive;;1;0;0;0
79;0;3;987423;NA;NA;NA;NA;;;0;0;1;0
79;0;4;99982;NA;384;NA;NA;Heatmaps adaptive;;1;0;0;0
79;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
80;9;1;4398;262;102;NA;NA;Heatmaps adaptive;;1;0;0;0
80;9;2;980;258;104;NA;436;Heatmaps adaptive;;0;0;0;1
80;9;3;987423;208;166;NA;487;Heatmaps adaptive;;0;0;0;1
80;9;4;99982;231;101;NA;500;Heatmaps adaptive;;0;0;0;1
80;9;5;1123;392;107;NA;491;Heatmaps adaptive;;0;0;0;1
81;8;1;4398;NA;NA;NA;NA;;;0;0;1;0
81;8;2;980;NA;NA;NA;NA;;;0;0;1;0
81;8;3;987423;NA;333;NA;NA;Heatmaps adaptive;;1;0;0;0
81;8;4;99982;NA;NA;NA;NA;;;0;0;1;0
81;8;5;1123;NA;432;NA;NA;Heatmaps adaptive;;1;0;0;0
82;7;1;4398;NA;NA;NA;NA;;;0;0;1;0
82;7;2;980;NA;NA;NA;NA;;;0;0;1;0
82;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
82;7;4;99982;NA;NA;NA;NA;;;0;0;1;0
82;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
83;6;1;4398;NA;NA;NA;NA;;;0;0;1;0
83;6;2;980;NA;445;NA;NA;Heatmaps adaptive;;1;0;0;0
83;6;3;987423;NA;NA;NA;NA;;;0;0;1;0
83;6;4;99982;NA;NA;NA;NA;;;0;0;1;0
83;6;5;1123;NA;NA;NA;NA;;;0;0;1;0
84;5;1;4398;NA;NA;NA;NA;;;0;0;1;0
84;5;2;980;NA;NA;NA;NA;;;0;0;1;0
84;5;3;987423;NA;NA;NA;NA;;;0;0;1;0
84;5;4;99982;NA;NA;NA;NA;;;0;0;1;0
84;5;5;1123;NA;NA;NA;NA;;;0;0;1;0
85;4;1;4398;NA;NA;NA;447;Normal Adaptive;;0;1;0;0
85;4;2;980;NA;NA;NA;485;Normal Adaptive;;0;1;0;0
85;4;3;987423;NA;NA;NA;NA;;;0;0;1;0
85;4;4;99982;NA;NA;NA;NA;;;0;0;1;0
85;4;5;1123;NA;NA;NA;NA;;;0;0;1;0
86;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
86;3;2;980;NA;NA;NA;NA;;;0;0;1;0
86;3;3;987423;NA;NA;NA;NA;;;0;0;1;0
86;3;4;99982;NA;415;NA;NA;Heatmaps adaptive;;1;0;0;0
86;3;5;1123;NA;437;NA;NA;Heatmaps adaptive;;1;0;0;0
87;2;1;4398;394;236;NA;443;Heatmaps adaptive;;0;0;0;1
87;2;2;980;359;200;NA;454;Heatmaps adaptive;;0;0;0;1
87;2;3;987423;268;229;NA;393;Heatmaps adaptive;;0;0;0;1
87;2;4;99982;333;470;NA;372;Heatmaps;;0;0;0;1
87;2;5;1123;NA;299;NA;395;Heatmaps adaptive;;0;0;0;1
88;1;1;4398;NA;497;NA;NA;Heatmaps adaptive;;1;0;0;0
88;1;2;980;NA;487;NA;NA;Heatmaps adaptive;;1;0;0;0
88;1;3;987423;NA;492;NA;NA;Heatmaps adaptive;;1;0;0;0
88;1;4;99982;NA;NA;NA;NA;;;0;0;1;0
88;1;5;1123;NA;NA;NA;NA;;;0;0;1;0
89;0;1;4398;NA;494;NA;400;Normal Adaptive;;0;0;0;1
89;0;2;980;NA;NA;NA;NA;;;0;0;1;0
89;0;3;987423;NA;373;NA;NA;Heatmaps adaptive;;1;0;0;0
89;0;4;99982;NA;443;NA;NA;Heatmaps adaptive;;1;0;0;0
89;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
90;9;1;4398;NA;NA;NA;NA;;;0;0;1;0
90;9;2;980;NA;NA;NA;NA;;;0;0;1;0
90;9;3;987423;NA;NA;NA;NA;;;0;0;1;0
90;9;4;99982;NA;NA;NA;NA;;;0;0;1;0
90;9;5;1123;NA;381;NA;NA;Heatmaps adaptive;;1;0;0;0
91;8;1;4398;NA;NA;NA;NA;;;0;0;1;0
91;8;2;980;NA;NA;NA;NA;;;0;0;1;0
91;8;3;987423;NA;NA;NA;NA;;;0;0;1;0
91;8;4;99982;NA;NA;NA;NA;;;0;0;1;0
91;8;5;1123;NA;NA;NA;NA;;;0;0;1;0
92;7;1;4398;NA;NA;NA;NA;;;0;0;1;0
92;7;2;980;NA;NA;NA;NA;;;0;0;1;0
92;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
92;7;4;99982;NA;NA;NA;NA;;;0;0;1;0
92;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
93;6;1;4398;NA;303;NA;NA;Heatmaps adaptive;;1;0;0;0
93;6;2;980;NA;397;NA;NA;Heatmaps adaptive;;1;0;0;0
93;6;3;987423;NA;405;NA;NA;Heatmaps adaptive;;1;0;0;0
93;6;4;99982;NA;NA;NA;NA;;;0;0;1;0
93;6;5;1123;NA;NA;NA;NA;;;0;0;1;0
94;5;1;4398;NA;305;NA;NA;Heatmaps adaptive;;1;0;0;0
94;5;2;980;NA;224;NA;NA;Heatmaps adaptive;;1;0;0;0
94;5;3;987423;NA;332;NA;NA;Heatmaps adaptive;;1;0;0;0
94;5;4;99982;469;343;NA;NA;Heatmaps adaptive;;1;0;0;0
94;5;5;1123;NA;317;NA;NA;Heatmaps adaptive;;1;0;0;0
95;4;1;4398;287;206;NA;NA;Heatmaps adaptive;;1;0;0;0
95;4;2;980;281;371;NA;NA;Heatmaps;;1;0;0;0
95;4;3;987423;374;228;NA;NA;Heatmaps adaptive;;1;0;0;0
95;4;4;99982;372;216;NA;NA;Heatmaps adaptive;;1;0;0;0
95;4;5;1123;311;237;NA;430;Heatmaps adaptive;;0;0;0;1
96;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
96;3;2;980;NA;NA;NA;NA;;;0;0;1;0
96;3;3;987423;NA;NA;NA;NA;;;0;0;1;0
96;3;4;99982;NA;NA;NA;NA;;;0;0;1;0
96;3;5;1123;NA;NA;NA;NA;;;0;0;1;0
97;2;1;4398;NA;NA;NA;NA;;;0;0;1;0
97;2;2;980;NA;NA;NA;NA;;;0;0;1;0
97;2;3;987423;NA;NA;NA;NA;;;0;0;1;0
97;2;4;99982;NA;NA;NA;NA;;;0;0;1;0
97;2;5;1123;NA;NA;NA;NA;;;0;0;1;0
98;1;1;4398;NA;NA;NA;NA;;;0;0;1;0
98;1;2;980;NA;NA;NA;NA;;;0;0;1;0
98;1;3;987423;NA;NA;NA;NA;;;0;0;1;0
98;1;4;99982;NA;NA;NA;NA;;;0;0;1;0
98;1;5;1123;NA;NA;NA;NA;;;0;0;1;0
99;0;1;4398;NA;NA;NA;NA;;;0;0;1;0
99;0;2;980;NA;NA;NA;NA;;;0;0;1;0
99;0;3;987423;NA;NA;NA;NA;;;0;0;1;0
99;0;4;99982;NA;NA;NA;NA;;;0;0;1;0
99;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
;;;;;;;;;;175;16;260;49
